Keys,Averages,ncomms_upper,ncomms_lower
0.0_0.1,1.0000000,1,1
0.1_0.2,1.0000000,1,1
0.2_0.3,1.0000000,1,1
0.3_0.4,1.0000000,1,1
0.4_0.5,1.0000000,3,1
0.5_0.6,1.0000000,3,3
0.6_0.7,1.0000000,3,3
0.7_0.8,0.9700000,4,3
0.8_0.9,0.9300000,4,4
0.9_1.0,0.8400000,4,4
1.0_1.1,0.9600000,5,4
1.1_1.2,0.9400000,6,5
1.2_1.3,0.9600000,11,6
1.3_1.4,0.9100000,17,11
1.4_1.5,0.9100000,43,17
1.5_1.6,0.8100000,118,43
1.6_1.7,0.8400000,190,118
1.7_1.8,0.6900000,226,190
1.8_1.9,0.7700000,264,226
1.9_2.0,0.8000000,300,264